sekolah,jenis_kelamin,usia,tipe_alamat,ukuran_keluarga,status_orangtua,pendidikan_ibu,pendidikan_ayah,pekerjaan_ibu,pekerjaan_ayah,alasan_pilih_sekolah,wali,waktu_tempuh,waktu_belajar,jumlah_kegagalan,dukungan_sekolah,dukungan_keluarga,les_pribadi,kegiatan_ekstra,pernah_paud,ingin_pendidikan_tinggi,internet_rumah,hubungan_romantis,hubungan_keluarga,waktu_luang,keluar_dengan_teman,konsumsi_alkohol_harian,konsumsi_alkohol_akhir_pekan,kesehatan,ketidakhadiran,nilai_periode1,nilai_periode2,nilai_akhir,subject,risiko_gagal
Gabriel Pereira,Perempuan,18,Perkotaan,Lebih dari 3,Berpisah,4,4,Ibu rumah tangga,Guru,Kurikulum,Ibu,2,2,0,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,Tidak,4,3,4,1,1,3,6,5,6,6,Math,1
Gabriel Pereira,Perempuan,17,Perkotaan,Lebih dari 3,Tinggal bersama,1,1,Ibu rumah tangga,Lainnya,Kurikulum,Ayah,1,2,0,Tidak,Ya,Tidak,Tidak,Tidak,Ya,Ya,Tidak,5,3,3,1,1,3,4,5,5,6,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,3 atau kurang,Tinggal bersama,1,1,Ibu rumah tangga,Lainnya,Lainnya,Ibu,1,2,3,Ya,Tidak,Ya,Tidak,Ya,Ya,Ya,Tidak,4,3,2,2,3,3,10,7,8,10,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,2,Kesehatan,Jasa,Dekat rumah,Ibu,1,3,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Ya,3,2,2,1,1,5,2,15,14,15,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,3,Lainnya,Lainnya,Dekat rumah,Ayah,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Tidak,Tidak,4,3,2,1,2,5,4,6,10,10,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Tinggal bersama,4,3,Jasa,Lainnya,Reputasi,Ibu,1,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,5,4,2,1,2,5,10,15,15,15,Math,0
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Tinggal bersama,2,2,Lainnya,Lainnya,Dekat rumah,Ibu,1,2,0,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,4,4,4,1,1,3,0,12,12,11,Math,0
Gabriel Pereira,Perempuan,17,Perkotaan,Lebih dari 3,Berpisah,4,4,Lainnya,Guru,Dekat rumah,Ibu,2,2,0,Ya,Ya,Tidak,Tidak,Ya,Ya,Tidak,Tidak,4,1,4,1,1,1,6,6,5,6,Math,1
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Berpisah,3,2,Jasa,Lainnya,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,4,2,2,1,1,1,0,16,18,19,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,3,4,Lainnya,Lainnya,Dekat rumah,Ibu,1,2,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,5,5,1,1,1,5,0,14,15,15,Math,0
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Guru,Kesehatan,Reputasi,Ibu,1,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,3,3,3,1,2,2,0,10,8,9,Math,1
Gabriel Pereira,Perempuan,15,Perkotaan,Lebih dari 3,Tinggal bersama,2,1,Jasa,Lainnya,Reputasi,Ayah,3,3,0,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,2,2,1,1,4,4,10,12,12,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,3 atau kurang,Tinggal bersama,4,4,Kesehatan,Jasa,Kurikulum,Ayah,1,1,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,4,3,3,1,3,5,2,14,14,14,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Guru,Lainnya,Kurikulum,Ibu,2,2,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,5,4,3,1,2,3,2,10,10,11,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Berpisah,2,2,Lainnya,Lainnya,Dekat rumah,Wali lain,1,3,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Ya,4,5,2,1,1,3,0,14,16,16,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Kesehatan,Lainnya,Dekat rumah,Ibu,1,1,0,Tidak,Ya,Tidak,Tidak,Ya,Ya,Ya,Tidak,4,4,4,1,2,2,4,14,14,14,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Jasa,Jasa,Reputasi,Ibu,1,3,0,Tidak,Ya,Ya,Ya,Ya,Ya,Ya,Tidak,3,2,3,1,2,2,6,13,14,14,Math,0
Gabriel Pereira,Perempuan,16,Perkotaan,Lebih dari 3,Tinggal bersama,3,3,Lainnya,Lainnya,Reputasi,Ibu,3,2,0,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,Tidak,5,3,2,1,1,4,4,8,10,10,Math,0
Gabriel Pereira,Laki-laki,17,Perkotaan,Lebih dari 3,Tinggal bersama,3,2,Jasa,Jasa,Kurikulum,Ibu,1,1,3,Tidak,Ya,Tidak,Ya,Ya,Ya,Ya,Tidak,5,5,5,2,4,5,16,6,5,5,Math,1
Gabriel Pereira,Laki-laki,16,Perkotaan,3 atau kurang,Tinggal bersama,4,3,Kesehatan,Lainnya,Dekat rumah,Ayah,1,1,0,Tidak,Tidak,Ya,Ya,Ya,Ya,Ya,Tidak,3,1,3,1,3,5,4,8,10,10,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,3,Guru,Lainnya,Reputasi,Ibu,1,2,0,Tidak,Tidak,Tidak,Tidak,Ya,Ya,Ya,Tidak,4,4,1,1,1,1,0,13,14,15,Math,0
Gabriel Pereira,Laki-laki,15,Perkotaan,Lebih dari 3,Tinggal bersama,4,4,Kesehatan,Kesehatan,Lainnya,Ayah,1,1,0,Tidak,Ya,Ya,Tidak,Ya,Ya,Ya,Tidak,5,4,2,1,1,5,0,12,15,15,Math,0
